cohort,task,scene,method,success,role,from_round,prior_confirmed,model_all_phase_hit_cells,all_phase_actual_miss_cells,model_any_phase_hit_cells,any_phase_actual_miss_cells,actual_hit_cells,actual_outside_model_cells,needed_cells,needed_all_phase_hits,needed_all_phase_misses,needed_actual_hits,predicted_confirmation_all_phase,predicted_confirmation_any_phase,actual_prior_candidate_support_complete,actual_confirmation,newly_blocked_prior_viable,all_phase_candidate_support_false_positive
old212,113,eval-moderate-009,generic,True,primary,1,False,1139,20,1269,47,1322,100,170,161,3,167,True,True,False,False,0,1
old212,113,eval-moderate-009,generic,True,primary,2,False,1128,20,1274,31,1351,108,9,9,0,9,True,True,True,True,0,0
old212,114,eval-moderate-009,ours,True,primary,1,False,906,5,930,5,1025,100,170,161,0,170,False,False,True,True,0,0
old212,115,eval-hard-026,generic,True,primary,1,False,860,9,936,18,1052,134,165,148,0,152,False,False,False,False,0,0
old212,115,eval-hard-026,generic,True,primary,2,False,840,12,939,18,1068,147,148,131,0,138,False,False,True,True,0,0
old212,116,eval-hard-026,ours,True,primary,1,False,753,4,787,5,922,140,165,157,0,165,False,False,False,False,0,0
old212,116,eval-hard-026,ours,True,primary,2,False,777,32,825,34,931,140,141,139,0,141,True,True,True,True,0,0
old212,117,eval-easy-035,ours,True,primary,1,False,1167,9,1210,11,1282,83,164,162,0,164,True,True,True,True,0,0
old212,118,eval-easy-035,generic,True,primary,1,False,1502,39,1578,44,1554,20,174,159,4,168,False,False,False,False,0,0
old212,118,eval-easy-035,generic,True,primary,2,False,1506,9,1578,10,1590,22,24,22,0,24,True,True,True,True,0,0
old212,121,eval-hard-020,ours,False,primary,1,False,475,3,489,4,641,156,165,97,0,119,False,False,False,False,1,0
old212,121,eval-hard-020,ours,False,primary,2,False,759,1,786,1,917,132,157,130,0,147,False,False,False,False,0,0
old212,122,eval-hard-020,generic,False,primary,1,False,925,2,968,3,1143,178,194,32,0,61,False,False,False,False,0,0
old212,122,eval-hard-020,generic,False,primary,2,False,1016,18,1065,23,1117,75,190,30,0,62,False,False,False,False,0,0
old212,123,eval-easy-024,ours,True,primary,1,False,1161,6,1227,11,1284,68,178,167,0,178,False,False,True,True,0,0
old212,124,eval-easy-024,generic,False,primary,1,False,1485,25,1570,33,1565,28,175,156,6,168,False,False,False,False,0,0
old212,124,eval-easy-024,generic,False,primary,2,False,1466,10,1572,15,1581,24,24,23,0,23,False,False,False,False,0,0
old212,125,eval-moderate-020,generic,True,primary,1,False,1066,30,1243,69,1265,91,160,157,0,159,True,True,True,True,0,0
old212,126,eval-moderate-020,ours,True,primary,1,False,896,4,928,4,1050,126,165,160,0,165,True,True,True,True,0,0
old212,127,eval-hard-014,ours,False,primary,1,False,331,2,344,3,437,96,159,71,0,87,False,False,False,False,0,0
old212,127,eval-hard-014,ours,False,primary,2,False,660,30,678,31,799,152,156,96,1,114,False,False,False,False,0,0
old212,128,eval-hard-014,generic,False,primary,1,False,850,9,927,16,1060,149,181,159,0,173,False,False,False,False,0,0
old212,128,eval-hard-014,generic,False,primary,2,False,857,6,925,8,1074,157,169,149,1,161,False,False,True,True,0,0
